,D100,D102,D104
16:51:08.94,,,
16:51:09.03,,,
16:51:09.14,,,
16:51:09.27,,,
16:51:09.38,,,
16:51:09.49,,,
16:51:09.60,,,
16:51:09.70,,,
16:51:09.82,,,
16:51:09.90,,,
16:51:10.03,,,
16:51:10.15,,,
16:51:10.26,,,
16:51:10.34,,,
16:51:10.47,,,
16:51:10.56,,,
16:51:10.68,,,
16:51:10.80,,,
16:51:10.89,,,
16:51:11.00,,,
16:51:11.11,,,
16:51:11.22,,,
